2024-09-21 21:29:41,130 - 작업 [0, 0]을 완료, 소요된 시간 3초
2024-09-21 21:29:43,132 - 작업 [0, 6]을 완료, 소요된 시간 1초
2024-09-21 21:29:46,133 - 작업 [1, 0]을 완료, 소요된 시간 2초
2024-09-21 21:29:49,134 - 작업 [1, 3]을 완료, 소요된 시간 2초
2024-09-21 21:29:52,135 - 작업 [1, 7]을 완료, 소요된 시간 2초
2024-09-21 21:29:56,136 - 작업 [2, 1]을 완료, 소요된 시간 3초
2024-09-21 21:29:59,142 - 작업 [2, 5]을 완료, 소요된 시간 2초
2024-09-21 21:30:02,143 - 작업 [3, 1]을 완료, 소요된 시간 2초
2024-09-21 21:30:05,144 - 작업 [3, 5]을 완료, 소요된 시간 2초
2024-09-21 21:30:07,145 - 작업 [3, 9]을 완료, 소요된 시간 1초
2024-09-21 21:30:10,147 - 작업 [4, 1]을 완료, 소요된 시간 2초
2024-09-21 21:30:13,152 - 작업 [4, 5]을 완료, 소요된 시간 2초
2024-09-21 21:30:17,153 - 작업 [4, 9]을 완료, 소요된 시간 3초
2024-09-21 21:30:19,154 - 작업 [5, 3]을 완료, 소요된 시간 1초
2024-09-21 21:30:22,155 - 작업 [5, 7]을 완료, 소요된 시간 2초
2024-09-21 21:30:24,156 - 작업 [6, 1]을 완료, 소요된 시간 1초
2024-09-21 21:30:27,158 - 작업 [6, 5]을 완료, 소요된 시간 2초
2024-09-21 21:30:31,159 - 작업 [6, 9]을 완료, 소요된 시간 3초
2024-09-21 21:30:34,160 - 작업 [7, 4]을 완료, 소요된 시간 2초
2024-09-21 21:30:38,161 - 작업 [7, 8]을 완료, 소요된 시간 3초
2024-09-21 21:30:42,161 - 작업 [8, 3]을 완료, 소요된 시간 3초
2024-09-21 21:30:44,162 - 작업 [8, 8]을 완료, 소요된 시간 1초
2024-09-21 21:30:48,162 - 작업 [9, 2]을 완료, 소요된 시간 3초
2024-09-21 21:30:50,163 - 작업 [9, 6]을 완료, 소요된 시간 1초
2024-09-21 21:30:52,164 - 작업 [0, 4]을 완료, 소요된 시간 1초
2024-09-21 21:30:55,166 - 작업 [1, 2]을 완료, 소요된 시간 2초
2024-09-21 21:30:59,166 - 작업 [6, 0]을 완료, 소요된 시간 3초
2024-09-21 21:31:03,168 - 작업 [7, 0]을 완료, 소요된 시간 3초
2024-09-21 21:31:07,168 - 작업 [8, 4]을 완료, 소요된 시간 3초
2024-09-21 21:31:11,169 - 작업 [0, 6]을 완료, 소요된 시간 3초
2024-09-21 21:31:12,172 - worker 1이 처리한 작업 수 24
2024-09-21 21:31:12,172 - worker 1이 수행한 시간 55 초
