2024-09-21 21:29:39,130 - 작업 [0, 1]을 완료, 소요된 시간 1초
2024-09-21 21:29:42,132 - 작업 [0, 4]을 완료, 소요된 시간 2초
2024-09-21 21:29:45,133 - 작업 [0, 8]을 완료, 소요된 시간 2초
2024-09-21 21:29:48,133 - 작업 [1, 2]을 완료, 소요된 시간 2초
2024-09-21 21:29:51,134 - 작업 [1, 6]을 완료, 소요된 시간 2초
2024-09-21 21:29:54,136 - 작업 [1, 9]을 완료, 소요된 시간 2초
2024-09-21 21:29:56,137 - 작업 [2, 3]을 완료, 소요된 시간 1초
2024-09-21 21:30:00,143 - 작업 [2, 7]을 완료, 소요된 시간 3초
2024-09-21 21:30:03,144 - 작업 [3, 2]을 완료, 소요된 시간 2초
2024-09-21 21:30:06,145 - 작업 [3, 6]을 완료, 소요된 시간 2초
2024-09-21 21:30:10,147 - 작업 [4, 0]을 완료, 소요된 시간 3초
2024-09-21 21:30:12,150 - 작업 [4, 4]을 완료, 소요된 시간 1초
2024-09-21 21:30:16,151 - 작업 [4, 8]을 완료, 소요된 시간 3초
2024-09-21 21:30:18,152 - 작업 [5, 2]을 완료, 소요된 시간 1초
2024-09-21 21:30:20,153 - 작업 [5, 6]을 완료, 소요된 시간 1초
2024-09-21 21:30:23,154 - 작업 [6, 0]을 완료, 소요된 시간 2초
2024-09-21 21:30:26,155 - 작업 [6, 3]을 완료, 소요된 시간 2초
2024-09-21 21:30:30,156 - 작업 [6, 7]을 완료, 소요된 시간 3초
2024-09-21 21:30:33,156 - 작업 [7, 2]을 완료, 소요된 시간 2초
2024-09-21 21:30:37,158 - 작업 [7, 6]을 완료, 소요된 시간 3초
2024-09-21 21:30:40,159 - 작업 [8, 2]을 완료, 소요된 시간 2초
2024-09-21 21:30:42,160 - 작업 [8, 6]을 완료, 소요된 시간 1초
2024-09-21 21:30:44,160 - 작업 [8, 7]을 완료, 소요된 시간 1초
2024-09-21 21:30:47,162 - 작업 [9, 1]을 완료, 소요된 시간 2초
2024-09-21 21:30:49,163 - 작업 [9, 5]을 완료, 소요된 시간 1초
2024-09-21 21:30:51,164 - 작업 [9, 8]을 완료, 소요된 시간 1초
2024-09-21 21:30:55,165 - 작업 [1, 1]을 완료, 소요된 시간 3초
2024-09-21 21:30:57,166 - 작업 [4, 3]을 완료, 소요된 시간 1초
2024-09-21 21:31:00,167 - 작업 [6, 1]을 완료, 소요된 시간 2초
2024-09-21 21:31:03,168 - 작업 [7, 2]을 완료, 소요된 시간 2초
2024-09-21 21:31:07,169 - 작업 [8, 8]을 완료, 소요된 시간 3초
2024-09-21 21:31:09,170 - 작업 [7, 2]을 완료, 소요된 시간 1초
2024-09-21 21:31:12,172 - worker 2이 처리한 작업 수 25
2024-09-21 21:31:12,172 - worker 2이 수행한 시간 48 초
