2024-09-21 21:29:41,131 - 작업 [0, 3]을 완료, 소요된 시간 3초
2024-09-21 21:29:44,132 - 작업 [0, 7]을 완료, 소요된 시간 2초
2024-09-21 21:29:47,134 - 작업 [1, 1]을 완료, 소요된 시간 2초
2024-09-21 21:29:51,135 - 작업 [1, 5]을 완료, 소요된 시간 3초
2024-09-21 21:29:53,136 - 작업 [1, 8]을 완료, 소요된 시간 1초
2024-09-21 21:29:56,142 - 작업 [2, 2]을 완료, 소요된 시간 2초
2024-09-21 21:29:58,143 - 작업 [2, 6]을 완료, 소요된 시간 1초
2024-09-21 21:30:01,144 - 작업 [2, 9]을 완료, 소요된 시간 2초
2024-09-21 21:30:04,147 - 작업 [3, 3]을 완료, 소요된 시간 2초
2024-09-21 21:30:07,147 - 작업 [3, 8]을 완료, 소요된 시간 2초
2024-09-21 21:30:11,148 - 작업 [4, 2]을 완료, 소요된 시간 3초
2024-09-21 21:30:15,152 - 작업 [4, 6]을 완료, 소요된 시간 3초
2024-09-21 21:30:17,154 - 작업 [5, 0]을 완료, 소요된 시간 1초
2024-09-21 21:30:19,154 - 작업 [5, 4]을 완료, 소요된 시간 1초
2024-09-21 21:30:23,156 - 작업 [5, 8]을 완료, 소요된 시간 3초
2024-09-21 21:30:27,157 - 작업 [6, 4]을 완료, 소요된 시간 3초
2024-09-21 21:30:30,158 - 작업 [6, 8]을 완료, 소요된 시간 2초
2024-09-21 21:30:32,160 - 작업 [7, 3]을 완료, 소요된 시간 1초
2024-09-21 21:30:34,162 - 작업 [7, 5]을 완료, 소요된 시간 1초
2024-09-21 21:30:36,163 - 작업 [7, 9]을 완료, 소요된 시간 1초
2024-09-21 21:30:39,165 - 작업 [8, 0]을 완료, 소요된 시간 2초
2024-09-21 21:30:43,166 - 작업 [8, 4]을 완료, 소요된 시간 3초
2024-09-21 21:30:45,167 - 작업 [9, 0]을 완료, 소요된 시간 1초
2024-09-21 21:30:49,168 - 작업 [9, 3]을 완료, 소요된 시간 3초
2024-09-21 21:30:52,169 - 작업 [9, 9]을 완료, 소요된 시간 2초
2024-09-21 21:30:54,171 - 작업 [2, 3]을 완료, 소요된 시간 1초
2024-09-21 21:30:57,172 - 작업 [2, 4]을 완료, 소요된 시간 2초
2024-09-21 21:31:00,173 - 작업 [6, 4]을 완료, 소요된 시간 2초
2024-09-21 21:31:04,174 - 작업 [8, 0]을 완료, 소요된 시간 3초
2024-09-21 21:31:06,175 - 작업 [9, 2]을 완료, 소요된 시간 1초
2024-09-21 21:31:09,176 - 작업 [9, 9]을 완료, 소요된 시간 2초
2024-09-21 21:31:12,172 - worker 4이 처리한 작업 수 26
2024-09-21 21:31:12,172 - worker 4이 수행한 시간 49 초
